tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	synopsis
tt0004707	movie	Tillie's Punctured Romance	Tillie's Punctured Romance	0	1914		82	Comedy	"Chaplin, mauvais garçon de la ville, coureur de jupons et de dot, est venu se mettre au vert à la campagne. Il y rencontre une gaillarde jeune fille aux manières plutôt rudes, Tillie. Ayant découvert que son père avait de l’argent, il la séduit et la persuade de s’enfuir avec lui non sans avoir dérobé les économies paternelles. Retournés en ville, ils rencontrent une ancienne petite amie. Tous les deux arrivent à dépouiller la niaise campagnarde qui termine au poste de police pour grivèlerie. Mais l’oncle de Tillie, millionnaire et honorablement connu, va intercéder en sa faveur et la faire libérer.
Nos deux complices, argent en poche, vont au cinéma. Le film projeté narre l’histoire d’un couple dont l’homme, séducteur, abuse d’une femme crédule. Un épisode assez similaire à leur dernière mauvaise action, seulement, à la fin du film, le couple se fait arrêter. Désormais ils vont voir en chaque agent de police, le regard suspicieux de la justice.
L’oncle, de son côté, part à la montagne s’adonner à son sport favori, l’escalade. La nièce se retrouve à la rue, sans ressource et n’ose pas rentrer chez elle. Tillie décide de travailler dans un restaurant. Son côté gauche conduit à bien des catastrophes, mais elle est embauchée comme serveuse. Comme il se doit, les deux voleurs se retrouvent “par hasard” à ce même restaurant et c’est l’occasion d’une bagarre.
L’oncle, pendant ce temps, a disparu en montagne et sa nièce devient la seule héritière. Mais ayant quitté sa famille, on doit faire passer un article dans le journal pour la rechercher. Apprenant ainsi que Tillie est millionnaire, Chaplin retourne aussitôt au restaurant se rabibocher avec la fringante jeune fille ignorant sa bonne fortune. Il traîne illico devant un pasteur pour l’épouser sur le champ. Un peu sceptique sur les sentiments de son nouveau mari lorsqu’elle apprend qu’elle a hérité, elle se laisse toutefois convaincre et voilà désormais notre barbeau en train de vivre la grande vie dans le château de l’oncle où Mabel, ne voulant pas se faire doubler par son complice, se fait engager comme domestique.
Dans sa montagne, l’oncle refait surface. Au château, où se déroule un grand bal, Tillie surprend les deux perfides en train de s’embrasser et s’ensuit une course poursuite effrénée à coups de revolver. C’est le moment que choisit l’oncle pour rentrer et chasser tout le monde de chez lui. Prévenant la police, il met aussitôt en action les « Keystone Cops » qui entrent dans la danse ! Le film se termine sur Tillie et Mabel devenant finalement amies et Chaplin se retrouvant seul."
tt0004972	movie	The Birth of a Nation	The Birth of a Nation	0	1915		195	Drama,War	
tt0006864	movie	Intolerance	Intolerance: Love's Struggle Throughout the Ages	0	1916		163	Drama,History	
tt0006997	movie	The Warrior	Maciste alpino	0	1916		95	Action,Drama,War	En 1916, le royaume d'Italie est impliqué dans la Première Guerre mondiale dans la lutte contre les troupes de l'Empire austro-hongrois. Le géant Maciste sent qu'il doit se rendre utile et s'enrôle dans les chasseurs alpins de l'armée italienne.
tt0019813	movie	The Desert Song	The Desert Song	0	1929		123	Action,Musical,Romance	
tt0021786	movie	Daybreak	Daybreak	0	1931		85	Drama	
tt0022117	movie	The Man in Possession	The Man in Possession	0	1931		84	Comedy,Romance	
tt0022675	movie	The Big Broadcast	The Big Broadcast	0	1932		88	Comedy,Musical,Romance	"Le radio-chanteur Bing Hornsby ne prend pas sa carrière professionnelle très au sérieux, arrivant souvent en retard alors que son futur mariage avec la célèbre Mona Lowe devient un problème pour la station WADX. Après une conversation désagréable avec le directeur de la station, George Burns, concernant un licenciement et un procès, le chanteur découragé se rend dans un bar clandestin. Là-bas, Hornsby voit Leslie McWhinney, un pauvre pétrolier texan, qui ne reconnaît pas Bing Hornsby. Ce dernier console Leslie, qui exprime son chagrin face à une femme qui lui a escroqué 100 000 $. Hornsby a d'abord l'intention de le réconforter, mais il voit bientôt un article de journal sur la trahison de Mona. Ils réalisent tous les deux qu'ils ont été lésés par la même personne.
Cette nuit-là, Hornsby invite Leslie dans son appartement, où complètement ivres, ils conviennent de se suicider par un empoisonnement au gaz. Leslie accepte à contrecœur le plan et alors qu'ils sont assis dans la cuisine, attenant la mort, ils sont hantés par la soudaine apparition fantomatique d'un crâne et d'un accordéoniste chantant. Avant de mourir, ils sont secourus par un portier et Anita Rogers, la secrétaire à la station WADX et ancienne fiancée de Leslie. Le lendemain matin, Hornsby et Leslie se réveillent pour découvrir qu'ils sont toujours en vie. Anita avoue à Leslie qu'elle est tombée amoureuse de Hornsby. Celui-ci invite alors Leslie à les rejoindre à WADX, disant qu'il peut lui trouver un emploi à la station de radio.
Pendant ce temps, le directeur de la station est embrouillé par la conversation confuse et les détournements de sa sténographe, Gracie Allen. Après de multiples mésaventures, il perd la station et Leslie est obligé de trouver un emploi à la gare, mais découvre avec stupéfaction qu'elle aussi est en faillite. Leslie révèle plus tard qu'il a encore 900 000 $ et utilise cet argent pour acheter la station de radio, afin d'aider Hornsby et Anita, qu'il aime toujours. Leslie a l'idée de diffuser une grande émission de stars pour désendetter la station. Entre-temps, Mona revient et rétablit le mariage, ce qui fait rapidement oublier à Hornsby sa romance naissante avec Anita. Hornsby sort avec Mona quelques heures avant la grande émission, menaçant de ruiner le spectacle car il est le meilleur pour clore l'émission.
Leslie exprime qu'il soutient inconditionnellement la relation entre Hornsby et Anita, ce qui fait pleurer Anita. Elle avoue à Leslie qu'elle aime Hornsby parce qu'il lui rappelle Leslie, en particulier sa voix. Elle demande un baiser à Leslie, et malgré sa confusion, il s'exécute. Leslie visite ensuite l'appartement de Mona quelques heures après le début du spectacle, pour découvrir que Hornsby est allongé sur le canapé, apparemment ivre. En réalité, Hornsby fait un clin d'œil à Mona pour indiquer qu'il fait semblant d'être en état d'ébriété afin de sauter le spectacle et de passer plus de temps avec elle. Leslie continue de l'exhorter à se produire, tandis que Mona semble être incroyablement furieuse contre l'irresponsabilité de Hornsby. Leslie part après avoir rappelé à Hornsby qu'il déçoit Anita. Après son départ, Mona demande à savoir qui est Anita mais quand Hornsby refuse de lui dire, elle jette un vase qui se brise contre le mur près de la tête de Hornsby.
En revenant à la gare, Leslie surprend un couple plus âgé en train d'écouter un disque de Hornsby. Il a alors l'idée de trouver un disque et de le faire tourner, espérant que les gens supposeraient qu'il s'agit d'une performance en direct. Tentant d'obtenir le disque, ce dernier se fait jeter sur le trottoir où il se casse. Désespérément, Leslie tente de trouver un enregistrement de la chanson et se retrouve dans diverses situations comiques, se terminant généralement par une tournure ironique qui mène à la situation suivante. Dans l'urgence, Leslie demande que les rideaux du studio soient fermés. Il passe ensuite un disque à moitié fondu à l'antenne ; cependant, à mesure qu'il est joué, il produit un mauvais effet humoristique. Le groupe commence à jouer et il n'y a apparemment pas de chanteur, car Hornsby continue d'être absent. Ne voyant pas d'autre option, Leslie se met à chanter, accompagnant le groupe avec des voix manifestement inexpérimentées. Il trébuche sur les paroles et ne peut pas produire les bons sifflements.
Anita, écoutant l'émission, a l'air choquée de reconnaître la voix de Leslie au lieu de celle de Bing. D'après son expression faciale, on peut supposer qu'elle trouve Leslie courageuse et attachante et revient à sa romance avec Leslie. Juste à temps pour le deuxième couplet, Hornsby revient et interprète la chanson, improvisant des paroles alternatives comme un message à Anita pour qu'elle reprenne Leslie comme son fiancé. Hornsby, qui a en fait feint l'irresponsabilité pour réunir Leslie et Anita, réussit à réunir les anciens amants. Mona l'écoute dans la cabine ; elle fait la moue et a un œil au beurre noir en l'écoutant chanter, le regardant avec admiration et peur. 
L'œil au beurre noir insinue que Hornsby l'avait agressée plus tôt dans la soirée en guise de punition pour l'avoir quitté et pour qu'elle ait posé des questions sur Anita."
tt0022873	movie	Faithless	Faithless	0	1932		77	Drama	
tt0023158	movie	Love Me Tonight	Love Me Tonight	0	1932		104	Comedy,Musical,Romance	L'histoire commence à Paris alors qu'un tailleur (Maurice Chevalier) ouvre sa boutique. Un de ses clients, le jeune vicomte de Varese (Charles Ruggles) ne venant pas régler les nombreux costumes qu'il lui a confectionnés, Maurice se rend au château où habite l'oncle du vicomte. Sur le chemin, il rencontre une jeune femme (Jeanette MacDonald) dont il tombe aussitôt amoureux. Celle-ci, le croyant fou, refuse de dire son nom et s'éloigne. À son arrivée au château, le vicomte, n'ayant pas envie que sa famille sache qu'il a des dettes, fait passer Maurice pour un baron. Le tailleur ne proteste pas étant donné que la jeune femme rencontrée sur la route est princesse et qu'elle vit au château.
